ВидНоменклатуры	Код	Артикул	Наименование	Ед
Направляющие	2414	PK-L-H45-450-B	Направляющие шариковые, GTV Versalite PLUS+, PK-L-H45-450-B с доводчиком	компл
Петли мебельные	2415	ZM-ECHC08ZEO	Петля GTV HC 08 полунакладная самозакрывающаяся с ответной планкой H-0 и еврошурупом	шт
Столешницы	2425		Столешница Золотистый Дуб №98 38мм 600*3000, Скиф	пог. м
Столешницы	2426		Кромка с клеем 50*3000*1 Скиф №98 Золотистый Дуб	пог. м
Толкатели	2427	TLK-04M-GR	Упор-защелка фасада с магнитом, серый	шт
МДФ	2443		МДФ шпон Дуб 2800*2070*17 AB	м2
Кромка	2444		Кромка дуб (флис) 19мм для шпонированного МДФ	м2
ЛКМ	2445	87660454	Лак яхтный Tikkurila Unica Super Strong База ЕР бесцветный высокоглянцевый	шт
Кромка	2451		Кромка ПВХ 1*19 Кашемир 5981S, GaloPlast	пог. м
Кромка	2452		Кромка ПВХ 2*25 Дуб Сонома	пог. м
Направляющие	2453	8319	Направляющие шариковые полного выдвижения 550мм, Н=45	компл
Опоры	2454	10193	Колесная опора с площадкой d=50, 38*38*1,5 резиновый ход	шт
ДСП	2459		ЛДСП Kronospan 7045 SU Сатин/текстура Супер матовый 2800*2070*16мм	м2
ДСП	2492		ЛДСП 16мм Ясень Шимо светлый 2750*1830	м2
ДСП	2493		ЛДСП 16мм Дуб Делано натуральный 2750*1830	м2
Кромка	2494		Кромка ПВХ 2*19 орех экко 317	пог. м
Кромка	2495		Кромка ПВХ 2*25 орех экко	пог. м
Кромка	2496		Кромка ПВХ 2*25 Ясень Шимо темный	пог. м
ДСП	2497		ЛДСП 22мм Ясень Шимо темный 2750*1830	м2
ДСП	2498		ЛДСП 22мм Дуб Делано натуральный 2750*1830	м2
ДСП	2499		ЛДСП 22мм Орех Экко 2750*1830	м2
ДСП	2500		ДСП 16мм Синий дымчатый U502 ST9 Шуя	м2
Кромка	2501		Кромка ABS Синий дымчатый U502 ST9 б/к 19*0,4 мм	пог. м
Кромка	2502		Кромка ABS Синий дымчатый U502 ST9 б/к 19*0,8 мм	пог. м
МДФ	2503		ЛМДФ 1 ст. белая гладкая Мостовдрев 2800*2070*16	м2
Петли мебельные	2509	10617	Петля вкладная 091370.082 Clip-on с доводчиком	шт
Петли мебельные	2510	10616	Петля накладная 091370.022 Clip-on с доводчиком	шт
Петли мебельные	2511	10618	Петля полунакладная 091370.052 Clip-on с доводчиком	шт
Петли мебельные	2512	8338	Петля вкладная MF-201С, Slide-on	шт
Наполнение шкафов	2513	11309	Крючок R17, 2-х рожковый, черный	шт
Наполнение кухонь	2514	724211	Бутылочница 150мм 2-уровневая V-40911 100х470х545 с креплением для фасада, с направляющими, с дов.	шт
Наполнение кухонь	2515	96951	Шариковые направляющие для бутылочниц квадро полного выдвижения, с доводчиком, левые	шт
